name,gt,pred
@551298.2154873858@4184598.2779720225@37.80733109@-122.41724396@.jpg,"(37.80733109, -122.41724396)","(37.807223, -122.417304)"
@551292.5344377332@4184647.7625181554@37.8077774@-122.41730499@.jpg,"(37.8077774, -122.41730499)","(37.807989, -122.417402)"
@551303.1097113979@4184567.409966962@37.80705261@-122.41719055@.jpg,"(37.80705261, -122.41719055)","(37.807083, -122.417197)"
@551303.7259405331@4184576.3023495455@37.80713272@-122.41718292@.jpg,"(37.80713272, -122.41718292)","(37.807107, -122.417178)"
@551308.5650998158@4184661.830502167@37.80790329@-122.41712189@.jpg,"(37.80790329, -122.41712189)","(37.807735, -122.419595)"
@551312.4908637585@4184570.854791857@37.80708313@-122.41708374@.jpg,"(37.80708313, -122.41708374)","(37.807084, -122.417124)"
@551339.988220204@4184361.937624097@37.80519867@-122.41678619@.jpg,"(37.80519867, -122.41678619)","(37.805209, -122.416837)"
@551428.564343522@4184589.7793590752@37.80724716@-122.41576385@.jpg,"(37.80724716, -122.41576385)","(37.807252, -122.415819)"
@551384.9469745883@4184368.567074984@37.80525589@-122.41627502@.jpg,"(37.80525589, -122.41627502)","(37.805276, -122.416291)"
@551345.400321204@4184355.6225988646@37.80514145@-122.41672516@.jpg,"(37.80514145, -122.41672516)","(37.805196, -122.416785)"
@551392.9666510117@4184482.4727976937@37.80628204@-122.41617584@.jpg,"(37.80628204, -122.41617584)","(37.806277, -122.415877)"
@551409.1508560693@4184471.99331479@37.80618668@-122.41599274@.jpg,"(37.80618668, -122.41599274)","(37.808538, -122.413344)"
@551413.0751338436@4184381.4403853733@37.80537033@-122.41595459@.jpg,"(37.80537033, -122.41595459)","(37.805307, -122.416049)"
@551421.858849875@4184373.0305819977@37.80529404@-122.41585541@.jpg,"(37.80529404, -122.41585541)","(37.805326, -122.415891)"
@551463.4700236236@4184700.044257163@37.80823898@-122.4153595@.jpg,"(37.80823898, -122.4153595)","(37.808275, -122.415391)"
@551495.6665091262@4184706.594525116@37.8082962@-122.41499329@.jpg,"(37.8082962, -122.41499329)","(37.808325, -122.414963)"
@551449.3811436946@4184590.333355433@37.80725098@-122.41552734@.jpg,"(37.80725098, -122.41552734)","(37.80724, -122.415546)"
@551464.1731685244@4184372.871297648@37.80529022@-122.41537476@.jpg,"(37.80529022, -122.41537476)","(37.805391, -122.415386)"
@551477.5640525491@4184594.318703861@37.80728531@-122.41520691@.jpg,"(37.80728531, -122.41520691)","(37.807317, -122.415243)"
@551482.9663975227@4184589.6968681375@37.80724335@-122.41514587@.jpg,"(37.80724335, -122.41514587)","(37.807336, -122.415106)"
@551487.6103250723@4184706.121366901@37.80829239@-122.41508484@.jpg,"(37.80829239, -122.41508484)","(37.808317, -122.415052)"
@551484.3170824255@4184373.843899831@37.80529785@-122.41514587@.jpg,"(37.80529785, -122.41514587)","(37.805407, -122.415242)"
@551552.4213370706@4182400.627633248@37.78750992@-122.41451263@.jpg,"(37.78750992, -122.41451263)","(37.787508, -122.414684)"
@551509.8151701228@4184699.4877151623@37.80823135@-122.41483307@.jpg,"(37.80823135, -122.41483307)","(37.808356, -122.414772)"
@551532.6138765792@4184598.049653885@37.80731583@-122.4145813@.jpg,"(37.80731583, -122.4145813)","(37.80739, -122.414686)"
@551533.5722605891@4182299.3518885057@37.78659821@-122.41473389@.jpg,"(37.78659821, -122.41473389)","(37.786524, -122.41471)"
@551506.4424324306@4184594.49944426@37.80728531@-122.41487885@.jpg,"(37.80728531, -122.41487885)","(37.807359, -122.414964)"
@551544.6788580515@4184601.9342924487@37.80735016@-122.41444397@.jpg,"(37.80735016, -122.41444397)","(37.807408, -122.414526)"
@551534.452335442@4182373.426862409@37.78726578@-122.41471863@.jpg,"(37.78726578, -122.41471863)","(37.787477, -122.414905)"
@551554.7686581307@4184599.457769416@37.80732727@-122.41432953@.jpg,"(37.80732727, -122.41432953)","(37.807431, -122.414382)"
@551576.9014034348@4184390.084935638@37.805439@-122.41409302@.jpg,"(37.805439, -122.41409302)","(37.805534, -122.414225)"
@551568.6389494175@4182385.491901421@37.78737259@-122.41432953@.jpg,"(37.78737259, -122.41432953)","(37.786802, -122.412519)"
@551585.6056815305@4184394.371297636@37.80547714@-122.41399384@.jpg,"(37.80547714, -122.41399384)","(37.805564, -122.414)"
@551595.4088767212@4182294.6596924206@37.78655243@-122.41403198@.jpg,"(37.78655243, -122.41403198)","(37.79282, -122.403114)"
@551652.0078541607@4184408.75591247@37.80560303@-122.41323853@.jpg,"(37.80560303, -122.41323853)","(37.805658, -122.413242)"
@551604.1684380347@4182290.48169956@37.78651428@-122.4139328@.jpg,"(37.78651428, -122.4139328)","(37.793628, -122.407815)"
@551624.8269321058@4182424.3605592144@37.78771973@-122.41368866@.jpg,"(37.78771973, -122.41368866)","(37.787636, -122.413662)"
@551674.1737644505@4184408.4712490398@37.80559921@-122.41298676@.jpg,"(37.80559921, -122.41298676)","(37.792315, -122.421535)"
@551641.9602972717@4184404.459938547@37.80556488@-122.41335297@.jpg,"(37.80556488, -122.41335297)","(37.805653, -122.413286)"
@551682.8948000282@4184410.219187357@37.80561447@-122.41288757@.jpg,"(37.80561447, -122.41288757)","(37.805719, -122.412802)"
@551617.5592454837@4182297.7609972586@37.78657913@-122.41378021@.jpg,"(37.78657913, -122.41378021)","(37.786669, -122.413595)"
@551690.7357236567@4182305.8392883954@37.7866478@-122.41294861@.jpg,"(37.7866478, -122.41294861)","(37.786738, -122.41306)"
@551666.4424038556@4182323.039993765@37.7868042@-122.41322327@.jpg,"(37.7868042, -122.41322327)","(37.786703, -122.413331)"
@551685.298473142@4182208.879176815@37.78577423@-122.41301727@.jpg,"(37.78577423, -122.41301727)","(37.785878, -122.412996)"
@551714.2714986015@4182409.260754311@37.78757858@-122.41267395@.jpg,"(37.78757858, -122.41267395)","(37.787756, -122.41273)"
@551722.39155773@4184644.5287503377@37.807724@-122.41242218@.jpg,"(37.807724, -122.41242218)","(37.807615, -122.412368)"
@551699.6501385188@4184415.8266743063@37.80566406@-122.41269684@.jpg,"(37.80566406, -122.41269684)","(37.805757, -122.412674)"
@551741.0897441006@4182417.895033484@37.78765488@-122.41236877@.jpg,"(37.78765488, -122.41236877)","(37.787808, -122.412331)"
